Course number,Course Name,Discipline,Slot,Instructor,Room Allotted
CS250,Operating Systems,CSE,C12,Dr. Dhiman Saha,L101
CS251,Introduction to Language Processing,CSE,D23,Dr. Vishwesh Jatala,L101
CS252,Algorithms II,CSE,E12,Dr. I. Vinod Kumar Reddy,L101
CS253,Theory of Computation II,CSE,C3,Dr. Barun Gorain,L102
CS254,Database Management Systems,CSE,A23,Dr. Souradyuti Paul,L206
CS300,Principles of Programming Languages,CSE,F,Dr. Amit Kumar Dhar,L105
CS499,Thesis (For BTech Honours),CSE,NA,DUGC_CSE,NA
CS559,Computer System Design,CSE,A,Dr. Gaganraj Gupta,L102
CS502,Graph theory and applications,CSE,A,Dr. I. Vinod Kumar Reddy,L205
CS599,Thesis (For MTech),CSE,NA,DUGC_CSE,NA
CS795,PhD Candidacy,CSE,NA,DUGC_CSE,NA
CS799,Thesis (For PhD),CSE,NA,DUGC_CSE,NA
CST895,PhD Candidacy,CSE,NA,DPGC_CSE,NA
CST899,Thesis (For PhD students admitted in 2023-24-M Semester),CSE,NA,DPGC_CSE,NA
TPL607/CS516,Parallelization of Programs,CSE,C,Dr. Vishwesh Jatala,ED1 203/204
TPL608/CS552,Network Science,CSE,E,Dr. Rishi Ranjan Singh,L103
TPL609/CS554,Block Chain Technologies,CSE,M,Dr. Souradyuti Paul,ED1 203/204
TPL610/CS607,Adversarial Machine Learning: Security and Privacy of ML,CSE,D,Dr. Sk Subidh Ali,ED1 207/208
TPL611/CS621,Quantum Computing and Reversible Logic Design,CSE,B,Dr. Dhiman Saha,L101
TPL612/CS620,Mobile and Wireless Networks,CSE,L,Dr. Anand M. Baswade,L103
TPL639/TP639,lower bound and Impossibilities,CSE,E,Dr. Barun Gorain,ED1 207/208
CY506,Inorganic Chemistry Practical,CY,U23,"Dr. Arup Mukherjee , Dr. Raghavender Medishetty,
Dr. Mayilmurugan (IC)",NA
CY699,Thesis (For MSc),CY,NA,DPGC_CY,NA
CY795,PhD Candidacy,CY,NA,DPGC_CY,NA
CY799,Thesis (For PhD),CY,NA,DPGC_CY,NA
